"variable","modelo"
"pr","ACCESS1-0"
"pr","ACCESS1-3"
"pr","bcc-csm1-1-m"
"pr","bcc-csm1-1"
"pr","BNU-ESM"
"pr","CanESM2"
"pr","CCSM4"
"pr","CESM1-BGC"
"pr","CESM1-CAM5"
"pr","CMCC-CESM"
"pr","CMCC-CM"
"pr","CMCC-CMS"
"pr","CNRM-CM5"
"pr","CSIRO-Mk3-6-0"
"pr","EC-EARTH"
"pr","FGOALS-g2"
"pr","FGOALS-s2"
"pr","GFDL-CM3"
"pr","GFDL-ESM2G"
"pr","GFDL-ESM2M"
"pr","HadGEM2-AO"
"pr","HadGEM2-CC"
"pr","HadGEM2-ES"
"pr","inmcm4"
"pr","IPSL-CM5A-LR"
"pr","IPSL-CM5A-MR"
"pr","IPSL-CM5B-LR"
"pr","MIROC-ESM-CHEM"
"pr","MIROC-ESM"
"pr","MIROC5"
"pr","MPI-ESM-LR"
"pr","MPI-ESM-MR"
"pr","MRI-CGCM3"
"pr","MRI-ESM1"
"pr","NorESM1-M"
"tasmin","ACCESS1-0"
"tasmin","ACCESS1-3"
"tasmin","bcc-csm1-1-m"
"tasmin","bcc-csm1-1"
"tasmin","BNU-ESM"
"tasmin","CanESM2"
"tasmin","CCSM4"
"tasmin","CESM1-BGC"
"tasmin","CESM1-CAM5"
"tasmin","CMCC-CESM"
"tasmin","CMCC-CM"
"tasmin","CMCC-CMS"
"tasmin","CNRM-CM5"
"tasmin","CSIRO-Mk3-6-0"
"tasmin","EC-EARTH"
"tasmin","FGOALS-g2"
"tasmin","FGOALS-s2"
"tasmin","GFDL-CM3"
"tasmin","GFDL-ESM2G"
"tasmin","GFDL-ESM2M"
"tasmin","HadGEM2-AO"
"tasmin","HadGEM2-CC"
"tasmin","HadGEM2-ES"
"tasmin","inmcm4"
"tasmin","IPSL-CM5A-LR"
"tasmin","IPSL-CM5B-LR"
"tasmin","MIROC-ESM-CHEM"
"tasmin","MIROC-ESM"
"tasmin","MIROC5"
"tasmin","MPI-ESM-LR"
"tasmin","MPI-ESM-MR"
"tasmin","MRI-CGCM3"
"tasmin","MRI-ESM1"
"tasmin","NorESM1-M"
"tasmax","ACCESS1-0"
"tasmax","ACCESS1-3"
"tasmax","BNU-ESM"
"tasmax","CCSM4"
"tasmax","CESM1-BGC"
"tasmax","CESM1-CAM5"
"tasmax","CMCC-CESM"
"tasmax","CMCC-CM"
"tasmax","CMCC-CMS"
"tasmax","CNRM-CM5"
"tasmax","CSIRO-Mk3-6-0"
"vel","ACCESS1-0"
"vel","ACCESS1-3"
"vel","bcc-csm1-1-m"
"vel","bcc-csm1-1"
"vel","BNU-ESM"
"vel","CanESM2"
"vel","CMCC-CESM"
"vel","CMCC-CM"
"vel","CNRM-CM5"
"vel","GFDL-CM3"
"vel","GFDL-ESM2G"
"vel","GFDL-ESM2M"
"vel","HadGEM2-AO"
"vel","HadGEM2-CC"
"vel","HadGEM2-ES"
"vel","inmcm4"
"vel","IPSL-CM5A-LR"
"vel","IPSL-CM5A-MR"
"vel","IPSL-CM5B-LR"
"vel","MIROC-ESM-CHEM"
"vel","MIROC-ESM"
"vel","MIROC5"
"vel","MPI-ESM-LR"
"vel","MPI-ESM-MR"
"vel","MRI-CGCM3"
"vel","MRI-ESM1"
"rsds","ACCESS1-0"
"rsds","ACCESS1-3"
"rsds","BNU-ESM"
"rsds","CanESM2"
"rsds","CMCC-CESM"
"rsds","CMCC-CM"
"rsds","CMCC-CMS"
"rsds","CNRM-CM5"
"rsds","CSIRO-Mk3-6-0"
"rsds","GFDL-CM3"
"rsds","GFDL-ESM2G"
"rsds","GFDL-ESM2M"
"rsds","inmcm4"
"rsds","IPSL-CM5A-MR"
"rsds","IPSL-CM5B-LR"
"rsds","MIROC-ESM-CHEM"
"rsds","MIROC-ESM"
"rsds","MPI-ESM-LR"
"rsds","MPI-ESM-MR"
"rsds","MRI-CGCM3"
"rsds","MRI-ESM1"
"rsds","NorESM1-M"
"huss","ACCESS1-0"
"huss","ACCESS1-3"
"huss","CanESM2"
"huss","CNRM-CM5"
"huss","CSIRO-Mk3-6-0"
"huss","FGOALS-g2"
"huss","GFDL-CM3"
"huss","inmcm4"
"huss","IPSL-CM5A-MR"
"huss","IPSL-CM5B-LR"
